P112808484000189042995663                   CELESTE ALIMENTOS                                 
P212808484000189001ASSENTO SANIT.FOFINHO PLUS AMARELO TERRA                                  00398ASSENTO SANIT.FOFINHO PLUS AMARELO TERRAT1700000000000000
P212808484000189001PISO CER. 20X20 TURIN CINZA A                                             00399PISO CER. 20X20 TURIN CINZA A           T1700000000000000
P212808484000189001PISO CER. 20X20 CANNES CINZA A                                            00400PISO CER. 20X20 CANNES CINZA A          T1700000000000000
P212808484000189001PISO CER. 30X30 DETROIT A                                                 00401PISO CER. 30X30 DETROIT A               T1700000000000000
P212808484000189001JOELHO 90 SOLD/ROSC 25MM X 1/2                                            00402JOELHO 90 SOLD/ROSC 25MM X 1/2          T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL BUCHA LT 20MM X 1/2                                    00403JOELHO 90 SOLDAVEL BUCHA LT 20MM X 1/2  T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL BUCHA LT 25MM X 3/4                                    00404JOELHO 90 SOLDAVEL BUCHA LT 25MM X 3/4  T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL BUCHA LT 25MM X 1/2                                    00405JOELHO 90 SOLDAVEL BUCHA LT 25MM X 1/2  T1700000000000000
P212808484000189001JOELHO 90 ESGOTO SN DN  75                                                00406JOELHO 90 ESGOTO SN DN  75              T1700000000000000
P212808484000189001JOELHO 45 SOLDAVEL 20 MM                                                  00407JOELHO 45 SOLDAVEL 20 MM                T1700000000000000
P212808484000189001JOELHO 45 SOLDAVEL 25 MM                                                  00408JOELHO 45 SOLDAVEL 25 MM                T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL 32MM                                                   00409JOELHO 90 SOLDAVEL 32MM                 T1700000000000000
P212808484000189001JOELHO 90 SOLDAVEL 40MM                                                   00410JOELHO 90 SOLDAVEL 40MM                 T1700000000000000
P212808484000189001JOELHO 90 REDUZIDO SOLDAVEL 25 X 20MM                                     00411JOELHO 90 REDUZIDO SOLDAVEL 25 X 20MM   T1700000000000000
P212808484000189001JOELHO 90 SOLD/ROSC 20MM X 1/2                                            00412JOELHO 90 SOLD/ROSC 20MM X 1/2          T1700000000000000
P212808484000189001JOELHO 90 SOLD/ROSC 25MM X 3/4                                            00413JOELHO 90 SOLD/ROSC 25MM X 3/4          T1700000000000000
P212808484000189001JOELHO 90 ESGOTO SN C/ VISITA DN 100X50                                   00414JOELHO 90 ESGOTO SN C/ VISITA DN 100X50 T1700000000000000
P212808484000189001LUVA REDUZIDA SOLDAVEL 25 X 20MM                                          00415LUVA REDUZIDA SOLDAVEL 25 X 20MM        T1700000000000000
P212808484000189001LUVA SOLD/ROSC 20MM X 1/2                                                 00416LUVA SOLD/ROSC 20MM X 1/2               T1700000000000000
P212808484000189001LUVA SOLDAVEL 32 MM                                                       00417LUVA SOLDAVEL 32 MM                     T1700000000000000
P212808484000189001LUVA SOLDAVEL 40 MM                                                       00418LUVA SOLDAVEL 40 MM                     T1700000000000000
P212808484000189001LUVA REDUZIDA SOLDAVEL 32 X 25 MM                                         00419LUVA REDUZIDA SOLDAVEL 32 X 25 MM       T1700000000000000
P212808484000189001LUVA SOLD/ROSC 25MM X 3/4                                                 00420LUVA SOLD/ROSC 25MM X 3/4               T1700000000000000
P212808484000189001LUVA SOLD/ROSC 25MM X 1/2                                                 00421LUVA SOLD/ROSC 25MM X 1/2               T1700000000000000
P212808484000189001LUVA SOLDAVEL BUCHA LT 20MM X 1/2                                         00422LUVA SOLDAVEL BUCHA LT 20MM X 1/2       T1700000000000000
P212808484000189001LUVA SOLDAVEL BUCHA LT 25MM X 3/4                                         00423LUVA SOLDAVEL BUCHA LT 25MM X 3/4       T1700000000000000
P212808484000189001LUVA SOLDAVEL BUCHA LT 25MM X 1/2                                         00424LUVA SOLDAVEL BUCHA LT 25MM X 1/2       T1700000000000000
P212808484000189001TE REDUZIDO ESGOTO SN DN  75X50                                           00425TE REDUZIDO ESGOTO SN DN  75X50         T1700000000000000
P212808484000189001TE SOLD/ROSC 20MMX1/2                                                     00426TE SOLD/ROSC 20MMX1/2                   T1700000000000000
P212808484000189001TE SOLD/ROSC 25MMX3/4                                                     00427TE SOLD/ROSC 25MMX3/4                   T1700000000000000
P212808484000189001TE SOLD/ROSC 25MMX1/2                                                     00428TE SOLD/ROSC 25MMX1/2                   T1700000000000000
P212808484000189001TE SOLDAVEL 32MM                                                          00429TE SOLDAVEL 32MM                        T1700000000000000
P212808484000189001TE SOLDAVEL 40MM                                                          00430TE SOLDAVEL 40MM                        T1700000000000000
P212808484000189001TE REDUZIDO SOLDAVEL 25X20 MM                                             00431TE REDUZIDO SOLDAVEL 25X20 MM           T1700000000000000
P212808484000189001TE REDUZIDO SOLDAVEL 40X25 MM                                             00433TE REDUZIDO SOLDAVEL 40X25 MM           T1700000000000000
P212808484000189001BUCHA REDUZIDA ESGOTO SN DN 50 X 40                                       00435BUCHA REDUZIDA ESGOTO SN DN 50 X 40     T1700000000000000
P212808484000189001BUCHA REDUZIDA ROSCA 3/4X1/2                                              00436BUCHA REDUZIDA ROSCA 3/4X1/2            T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL CURTA 25X20MM                                     00437BUCHA REDUZIDA SOLDAVEL CURTA 25X20MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL CURTA 32X25MM                                     00438BUCHA REDUZIDA SOLDAVEL CURTA 32X25MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL LONGA 32X20MM                                     00439BUCHA REDUZIDA SOLDAVEL LONGA 32X20MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL LONGA 40X20MM                                     00440BUCHA REDUZIDA SOLDAVEL LONGA 40X20MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL LONGA 40X25MM                                     00441BUCHA REDUZIDA SOLDAVEL LONGA 40X25MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL LONGA 50X20MM                                     00442BUCHA REDUZIDA SOLDAVEL LONGA 50X20MM   T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL LONGA 50X25MM                                     00443BUCHA REDUZIDA SOLDAVEL LONGA 50X25MM   T1700000000000000
P212808484000189001ADAPTADOR SOLD CURTO 20MM X 1/2                                           00444ADAPTADOR SOLD CURTO 20MM X 1/2         T1700000000000000
P212808484000189001ADAPTADOR SOLD CURTO 25MM X 3/4                                           00445ADAPTADOR SOLD CURTO 25MM X 3/4         T1700000000000000
P212808484000189001ADAPTADOR SOLD CURTO 32MM X 1                                             00446ADAPTADOR SOLD CURTO 32MM X 1           T1700000000000000
P212808484000189001NIPEL ROSCA 1/2                                                           00447NIPEL ROSCA 1/2                         T1700000000000000
P212808484000189001LTRAO MARIA EDUARDA BRASILEIRO BELTRAO ZE HELIO BE                        00448ADAPTADOR AA SOLD CX DAGUA 25MM X 3/4   T1700000000000000
P212808484000189001ADAPTADOR AA SOLD CX DAGUA 50MM X 1.1/2                                   00449ADAPTADOR AA SOLD CX DAGUA 50MM X 1.1/2 F0000000000000000
P212808484000189001JHQWJKHDKJAHGKHFIVHWEIRHIGHEI                                             01039JHQWJKHDKJAHGKHFIVHWEIRHIGHEI           T1700000000000000
P212808484000189001ADAPTADOR N1 P/ VALVULA PIA/LAV DN 40                                     00451ADAPTADOR N1 P/ VALVULA PIA/LAV DN 40   T1700000000000000
P212808484000189001                                                                          00452ADAPTADOR FL SOLD CX DAGUA 50MM X 1.1/2 F0000000000000000
P212808484000189001NIPEL ROSCA 3/4                                                           00453NIPEL ROSCA 3/4                         T1700000000000000
P212808484000189001PLUG ROSCA 1/2                                                            00454PLUG ROSCA 1/2                          T1700000000000000
P212808484000189001PLUG ROSCA 3/4                                                            00455PLUG ROSCA 3/4                          T1700000000000000
P212808484000189001CAP SOLDAVEL 20MM                                                         00456CAP SOLDAVEL 20MM                       T1700000000000000
P212808484000189001CAP SOLDAVEL 25MM                                                         00457CAP SOLDAVEL 25MM                       T1700000000000000
P212808484000189001CAP ESGOTO SN DN  40                                                      00458CAP ESGOTO SN DN  40                    T1700000000000000
P212808484000189001CAP ESGOTO SN DN 100                                                      00459CAP ESGOTO SN DN 100                    T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO SN DN  40                                           00460JUNCAO SIMPLES ESGOTO SN DN  40         T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO SN DN  50                                           00461JUNCAO SIMPLES ESGOTO SN DN  50         T1700000000000000
P212808484000189001JUNCAO SIMPLES RED ESGOTO SN DN  75X50                                    00462JUNCAO SIMPLES RED ESGOTO SN DN  75X50  T1700000000000000
P212808484000189001JUNCAO SIMPLES RED ESGOTO SN DN 100X50                                    00463JUNCAO SIMPLES RED ESGOTO SN DN 100X50  T1700000000000000
P212808484000189001JUNCAO SIMPLES ESGOTO SN DN 100                                           00464JUNCAO SIMPLES ESGOTO SN DN 100         T1700000000000000
P212808484000189001UNIAO SOLDAVEL 25MM                                                       00465UNIAO SOLDAVEL 25MM                     T1700000000000000
P212808484000189001UNIAO SOLDAVEL 32MM                                                       00466UNIAO SOLDAVEL 32MM                     T1700000000000000
P212808484000189001UNIAO SOLDAVEL 20MM                                                       00467UNIAO SOLDAVEL 20MM                     T1700000000000000
P212808484000189001CURVA 90 SOLDAVEL 20MM                                                    00468CURVA 90 SOLDAVEL 20MM                  T1700000000000000
P212808484000189001CURVA 90 SOLDAVEL 25MM                                                    00469CURVA 90 SOLDAVEL 25MM                  T1700000000000000
P212808484000189001CX SIFONADA N64 BR P GR RED 100X100X50                                    00470CX SIFONADA N64 BR P GR RED 100X100X50  T1700000000000000
P212808484000189001ADESIVO BISNAGA 17G                                                       00471ADESIVO BISNAGA 17G                     T1700000000000000
P212808484000189001TE ESGOTO SN DN  75                                                       00472TE ESGOTO SN DN  75                     T1700000000000000
P212808484000189001RALO SIFONADO RED GR BR 100 X 38 X DN 40                                  00473RALO SIFONADO RED GR BR 100 X 38 X DN 40T1700000000000000
P212808484000189001REDUCAO EXC ESGOTO SN DN  75 X 50                                         00474REDUCAO EXC ESGOTO SN DN  75 X 50       T1700000000000000
P212808484000189001REDUCAO EXC ESGOTO SN DN 100 X 50                                         00475REDUCAO EXC ESGOTO SN DN 100 X 50       T1700000000000000
P212808484000189001REDUCAO EXC ESGOTO SN DN 100 X 75                                         00476REDUCAO EXC ESGOTO SN DN 100 X 75       T1700000000000000
P212808484000189001TE REDUZIDO SOLDAVEL 32X25 MM                                             00477TE REDUZIDO SOLDAVEL 32X25 MM           T1700000000000000
P212808484000189001TE REDUZIDO ESGOTO SN DN 100X50                                           00478TE REDUZIDO ESGOTO SN DN 100X50         T1700000000000000
P212808484000189001TE REDUZIDO ESGOTO SN DN 100X75                                           00479TE REDUZIDO ESGOTO SN DN 100X75         T1700000000000000
P212808484000189001CARRO MAO CAMPEAO 3.25X8 ARO E CAC. ACO                                   00480CARRO MAO CAMPEAO 3.25X8 ARO E CAC. ACO T1700000000000000
P212808484000189001FITA VEDA ROSCA 12MM X 10M                                                00481FITA VEDA ROSCA 12MM X 10M              T1700000000000000
P212808484000189001FITA VEDA ROSCA 12MM X 25M                                                00482FITA VEDA ROSCA 12MM X 25M              T1700000000000000
P212808484000189001FITA VEDA ROSCA 18MM X 10M                                                00483FITA VEDA ROSCA 18MM X 10M              T1700000000000000
P212808484000189001FITA VEDA ROSCA 18MM X 25M                                                00484FITA VEDA ROSCA 18MM X 25M              T1700000000000000
P212808484000189001FITA VEDA ROSCA 18MM X 50M                                                00485FITA VEDA ROSCA 18MM X 50M              T1700000000000000
P212808484000189001TORNEIRA BOIA CX DAGUA 1/2                                                00486TORNEIRA BOIA CX DAGUA 1/2              T1700000000000000
P212808484000189001TORNEIRA BOIA CX DAGUA 3/4                                                00487TORNEIRA BOIA CX DAGUA 3/4              T1700000000000000
P212808484000189001SIFAO COPO N3 PIA/LAVAT. 1 X 1.1/2                                        00488SIFAO COPO N3 PIA/LAVAT. 1 X 1.1/2      T1700000000000000
P212808484000189001SIFAO COPO N4 PIA AMER 1.1/2 X 1.1/2                                      00489SIFAO COPO N4 PIA AMER 1.1/2 X 1.1/2    T1700000000000000
P212808484000189001VALVULA N2 PIA 1                                                          00490VALVULA N2 PIA 1                        T1700000000000000
P212808484000189001VALVULA N8 LAV/TANQUE 1                                                   00491VALVULA N8 LAV/TANQUE 1                 T1700000000000000
P212808484000189001BOLSA LIGACAO P/ VASO SANITARIO 1.1/2                                     00492BOLSA LIGACAO P/ VASO SANITARIO 1.1/2   T1700000000000000
P212808484000189001CHUVEIRO 1/2                                                              00493CHUVEIRO 1/2                            T1700000000000000
P212808484000189001KIT CHUVEIRO 1/2                                                          00494KIT CHUVEIRO 1/2                        T1700000000000000
P212808484000189001ENGATE PLASTICO 1/2 X 30CM                                                00496ENGATE PLASTICO 1/2 X 30CM              T1700000000000000
P212808484000189001ENGATE PLASTICO 1/2 X 40CM                                                00497ENGATE PLASTICO 1/2 X 40CM              T1700000000000000
P212808484000189001ENGATE PLASTICO 1/2 X 50CM                                                00498ENGATE PLASTICO 1/2 X 50CM              T1700000000000000
P212808484000189001ADESIVO BISNAGA 75G                                                       00499ADESIVO BISNAGA 75G                     T1700000000000000
P212808484000189001FITA ISOLANTE CX MASTER 19MM X  5M                                        00500FITA ISOLANTE CX MASTER 19MM X  5M      T1700000000000000
P212808484000189001FITA ISOLANTE CX MASTER 19MM X 10M                                        00501FITA ISOLANTE CX MASTER 19MM X 10M      T1700000000000000
P212808484000189001FITA ISOLANTE CX MASTER 19MM X 20M                                        00502FITA ISOLANTE CX MASTER 19MM X 20M      T1700000000000000
P212808484000189001TUBO DESCIDA EXT N3 CURTO P/CX DESCARGA                                   00503TUBO DESCIDA EXT N3 CURTO P/CX DESCARGA T1700000000000000
P212808484000189001HASTE P/ CHUVEIRO 1/2                                                     00504HASTE P/ CHUVEIRO 1/2                   T1700000000000000
P212808484000189001PISO CER. 30X30 MONTE CARLO A                                             00505PISO CER. 30X30 MONTE CARLO A           T1700000000000000
P212808484000189001PISO CER. 30X30 CAPRI CHUMBO A                                            00506PISO CER. 30X30 CAPRI CHUMBO A          T1700000000000000
P212808484000189001PISO CER. 30X30 CAPRI ACQUA A                                             00507PISO CER. 30X30 CAPRI ACQUA A           T1700000000000000
P212808484000189001SUPERCAL 05 KG                                                            00508SUPERCAL 05 KG                          T1700000000000000
P212808484000189001PREGO GERDAU 3X9                                                          00509PREGO GERDAU 3X9                        T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML VERDE FOLHA                                     00510ESMALTE HIDRALAR 6X900 ML VERDE FOLHA   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML VERMELHO                                        00511ESMALTE HIDRALAR 6X900 ML VERMELHO      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML VERMELHO GOYA                                   00512ESMALTE HIDRALAR 6X900 ML VERMELHO GOYA T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML AZUL MAR                                        00513ESMALTE HIDRALAR 6X900 ML AZUL MAR      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML AZUL FRANCA                                     00514ESMALTE HIDRALAR 6X900 ML AZUL FRANCA   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML AZUL DEL REY                                    00515ESMALTE HIDRALAR 6X900 ML AZUL DEL REY  T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML BRANCO                                          00516ESMALTE HIDRALAR 4X3,6 ML BRANCO        T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML BRANCO GELO                                     00517ESMALTE HIDRALAR 4X3,6 ML BRANCO GELO   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML PLATINA                                         00518ESMALTE HIDRALAR 4X3,6 ML PLATINA       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML CINZA MEDIO                                     00519ESMALTE HIDRALAR 4X3,6 ML CINZA MEDIO   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML PRETO                                           00520ESMALTE HIDRALAR 4X3,6 ML PRETO         T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML MARFIM                                          00521ESMALTE HIDRALAR 4X3,6 ML MARFIM        T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML CONHAQUE                                        00522ESMALTE HIDRALAR 4X3,6 ML CONHAQUE      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML TABACO                                          00523ESMALTE HIDRALAR 4X3,6 ML TABACO        T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML CREME                                           00524ESMALTE HIDRALAR 4X3,6 ML CREME         T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML AMARELO                                         00525ESMALTE HIDRALAR 4X3,6 ML AMARELO       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML VERDE FOLHA                                     00526ESMALTE HIDRALAR 4X3,6 ML VERDE FOLHA   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML VERMELHO                                        00527ESMALTE HIDRALAR 4X3,6 ML VERMELHO      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML VERMELHO GOYA                                   00528ESMALTE HIDRALAR 4X3,6 ML VERMELHO GOYA T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML AZUL MAR                                        00529ESMALTE HIDRALAR 4X3,6 ML AZUL MAR      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML AZUL FRANCA                                     00530ESMALTE HIDRALAR 4X3,6 ML AZUL FRANCA   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML AZUL DEL REY                                    00531ESMALTE HIDRALAR 4X3,6 ML AZUL DEL REY  T1700000000000000
P212808484000189001AGUARRAS 20X900 ML                                                        00532AGUARRAS 20X900 ML                      T1700000000000000
P212808484000189001AGUARRAS 4X5 LT                                                           00533AGUARRAS 4X5 LT                         T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML BRANCO                                          00534ESMALTE HIDRALAR 6X900 ML BRANCO        T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML BRANCO GELO                                     00535ESMALTE HIDRALAR 6X900 ML BRANCO GELO   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML PLATINA                                         00536ESMALTE HIDRALAR 6X900 ML PLATINA       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML CINZA MEDIO                                     00537ESMALTE HIDRALAR 6X900 ML CINZA MEDIO   T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML PRETO                                           00538ESMALTE HIDRALAR 6X900 ML PRETO         T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML MARFIM                                          00539ESMALTE HIDRALAR 6X900 ML MARFIM        T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML CONHAQUE                                        00540ESMALTE HIDRALAR 6X900 ML CONHAQUE      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML TABACO                                          00541ESMALTE HIDRALAR 6X900 ML TABACO        T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML CREME                                           00542ESMALTE HIDRALAR 6X900 ML CREME         T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML AMARELO                                         00543ESMALTE HIDRALAR 6X900 ML AMARELO       T1700000000000000
P212808484000189001ESPUDE P/ VASO SANITARIO                                                  00544ESPUDE P/ VASO SANITARIO                T1700000000000000
P212808484000189001MALHA POP MEDIA PAINEL 2,00X3,00 M                                        00545MALHA POP MEDIA PAINEL 2,00X3,00 M      T1700000000000000
P212808484000189001CAMARA DE AR 3.25X8                                                       00546CAMARA DE AR 3.25X8                     T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 AZUL FRANCA                                         00547ESMALTE HIDRALAR 1/16 AZUL FRANCA       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 AZUL DEL REY                                        00548ESMALTE HIDRALAR 1/16 AZUL DEL REY      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 CREME                                               00549ESMALTE HIDRALAR 1/16 CREME             T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 BRANCO GELO                                         00550ESMALTE HIDRALAR 1/16 BRANCO GELO       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 PLATINA                                             00551ESMALTE HIDRALAR 1/16 PLATINA           T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 CINZA MEDIO                                         00552ESMALTE HIDRALAR 1/16 CINZA MEDIO       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 PRETO                                               00553ESMALTE HIDRALAR 1/16 PRETO             T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 MARFIM                                              00554ESMALTE HIDRALAR 1/16 MARFIM            T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 CONHAQUE                                            00555ESMALTE HIDRALAR 1/16 CONHAQUE          T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 TABACO                                              00556ESMALTE HIDRALAR 1/16 TABACO            T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 AMARELO                                             00558ESMALTE HIDRALAR 1/16 AMARELO           T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 VERDE FOLHA                                         00559ESMALTE HIDRALAR 1/16 VERDE FOLHA       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 VERMELHO                                            00560ESMALTE HIDRALAR 1/16 VERMELHO          T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 VERMELHO GOYA                                       00561ESMALTE HIDRALAR 1/16 VERMELHO GOYA     T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 AZUL MAR                                            00562ESMALTE HIDRALAR 1/16 AZUL MAR          T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 BRANCO                                              00563ESMALTE HIDRALAR 1/32 BRANCO            T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 BRANCO GELO                                         00564ESMALTE HIDRALAR 1/32 BRANCO GELO       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 PLATINA                                             00565ESMALTE HIDRALAR 1/32 PLATINA           T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 CINZA MEDIO                                         00566ESMALTE HIDRALAR 1/32 CINZA MEDIO       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 PRETO                                               00567ESMALTE HIDRALAR 1/32 PRETO             T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 MARFIM                                              00568ESMALTE HIDRALAR 1/32 MARFIM            T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 CONHAQUE                                            00569ESMALTE HIDRALAR 1/32 CONHAQUE          T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 TABACO                                              00570ESMALTE HIDRALAR 1/32 TABACO            T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 CREME                                               00571ESMALTE HIDRALAR 1/32 CREME             T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 AMARELO                                             00572ESMALTE HIDRALAR 1/32 AMARELO           T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 VERMELHO                                            00573ESMALTE HIDRALAR 1/32 VERMELHO          T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 VERMELHO GOYA                                       00574ESMALTE HIDRALAR 1/32 VERMELHO GOYA     T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 AZUL MAR                                            00575ESMALTE HIDRALAR 1/32 AZUL MAR          T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 AZUL FRANCA                                         00576ESMALTE HIDRALAR 1/32 AZUL FRANCA       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 AZUL DEL REY                                        00577ESMALTE HIDRALAR 1/32 AZUL DEL REY      T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 BRANCO                                              00578ESMALTE HIDRALAR 1/16 BRANCO            T1700000000000000
P212808484000189001COLUNA POP 6M GG 5/16 X 7X14                                              00580COLUNA POP 6M GG 5/16 X 7X14            T1700000000000000
P212808484000189001ASDFGSAFGS                                                                00139ASDFGSAFGS                              T1700000000000000
P212808484000189001ZSDLCJKSDFJGDKLFGSKLDFKLGS                                                00146ZSDLBJKSDFJGDKLFGSKLDFKLGS              T1700000000000000
P212808484000189001COLUNA POP 6M GG 3/8  X 7X17                                              00581COLUNA POP 6M GG 3/8  X 7X17            T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 VERDE FOLHA                                         00582ESMALTE HIDRALAR 1/32 VERDE FOLHA       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/32 LARANJA                                             00583ESMALTE HIDRALAR 1/32 LARANJA           T1700000000000000
P212808484000189001ESMALTE HIDRALAR 1/16 LARANJA                                             00584ESMALTE HIDRALAR 1/16 LARANJA           T1700000000000000
P212808484000189001ESMALTE HIDRALAR 4X3,6 ML LARANJA                                         00585ESMALTE HIDRALAR 4X3,6 ML LARANJA       T1700000000000000
P212808484000189001ESMALTE HIDRALAR 6X900 ML LARANJA                                         00586ESMALTE HIDRALAR 6X900 ML LARANJA       T1700000000000000
P212808484000189001HIDRACOR CINZA FRD 10/2                                                   00587HIDRACOR CINZA FRD 10/2                 T1700000000000000
P212808484000189001TUBO PVC AMANCO SOLDAVEL 110 X 6M                                         00589TUBO PVC AMANCO SOLDAVEL 110 X 6M       T1700000000000000
P212808484000189001PISO CER. 10X10 DANUBIO A                                                 00593PISO CER. 10X10 DANUBIO A               T1700000000000000
P212808484000189001LATEX EXT ACRILICO H 4X3,6 BRANCO                                         00595LATEX EXT ACRILICO H 4X3,6 BRANCO       T1700000000000000
P212808484000189001TEXTURAX PALHA 18 L                                                       00596TEXTURAX PALHA 18 L                     T1700000000000000
P212808484000189001TUBO SL AMANCO DN 200 X 6M                                                00598TUBO SL AMANCO DN 200 X 6M              T1700000000000000
P212808484000189001TUBO SL AMANCO DN 300 X 6M                                                00599TUBO SL AMANCO DN 300 X 6M              T1700000000000000
P212808484000189001TUBO CELFORT JERI DN 150                                                  00600TUBO CELFORT JERI DN 150                T1700000000000000
P212808484000189001TELHA MAXIPLAC 6MM 3.00X1.06                                              00601TELHA MAXIPLAC 6MM 3.00X1.06            T1700000000000000
P212808484000189001TELHA MAXIPLAC 6MM 3.70X1.06                                              00602TELHA MAXIPLAC 6MM 3.70X1.06            T1700000000000000
P212808484000189001TELHA MAXIPLAC 6MM 4.10X1.06                                              00603TELHA MAXIPLAC 6MM 4.10X1.06            T1700000000000000
P212808484000189001CUMEEIRA NORMAL TMX 10 G  (MAXIPLAC)                                      00604CUMEEIRA NORMAL TMX 10 G  (MAXIPLAC)    T1700000000000000
P212808484000189001PISO CER. 20X20 ALBANY CINZA A                                            00605PISO CER. 20X20 ALBANY CINZA A          T1700000000000000
P212808484000189001ANEL VED ESG DN  50                                                       00606ANEL VED ESG DN  50                     T1700000000000000
P212808484000189001ANEL VED ESG DN  75                                                       00607ANEL VED ESG DN  75                     T1700000000000000
P21280848400018900145454546                                                                  0104045454546                                T1700000000000000
P212808484000189001BUCHA REDUZIDA SOLDAVEL CURTA 50X40MM                                     00609BUCHA REDUZIDA SOLDAVEL CURTA 50X40MM   T1700000000000000
P212808484000189001JOELHO 45 ESGOTO SN DN  40                                                00610JOELHO 45 ESGOTO SN DN  40              T1700000000000000
P212808484000189001JOELHO 45 ESGOTO SN DN  50                                                00611JOELHO 45 ESGOTO SN DN  50              T1700000000000000
